ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u0to0.d0to50|RBM46_M052_0.6	-4.3888919	4.3888919	4.248535	4.248535	-1.03303648	1.03303648	1.03303648	0.73326249	u0to0.d0to50	RBM46_M052_0.6	-1.44722144539362	0.0739174560313055	1.0	1.44722144539362	0.0739174560313055	1.0	1.44722144539362	1.44722144539362	False
u0to0.d0to50|SRSF1_325	10.461094	-10.461094	3.796666000000001	3.796666000000001	2.75533725	-2.75533725	2.75533725	0.48246546	u0to0.d0to50	SRSF1_325	1.42339672656076	0.07731059044498799	1.0	-1.42339672656076	0.07731059044498799	1.0	1.42339672656076	1.42339672656076	False
u25to0.d0to25|SF1_1200	-8.3942522	8.3942522	3.733054	3.733054	-2.24862862	2.24862862	2.24862862	0.23379384	u25to0.d0to25	SF1_1200	-1.40852374608466	0.0794880202866745	1.0	1.40852374608466	0.0794880202866745	1.0	1.40852374608466	1.40852374608466	False
u25to0.d0to25|SF1_1198	-18.9009993	18.9009993	8.573649000000001	8.573649000000001	-2.20454545	2.20454545	2.20454545	0.24973433	u25to0.d0to25	SF1_1198	-1.38552705024167	0.0829456835431099	1.0	1.38552705024167	0.0829456835431099	1.0	1.38552705024167	1.38552705024167	False
u0to0.d0to50|RBM24_M175_0.6	9.851270800000002	-9.851270800000002	3.692024	3.692024	2.66825722	-2.66825722	2.66825722	0.5642933000000001	u0to0.d0to50	RBM24_M175_0.6	1.35741234002761	0.0873251147315723	1.0	-1.35741234002761	0.0873251147315723	1.0	1.35741234002761	1.35741234002761	False
u0to0.d0to50|RBM42_M142_0.6	240.4344036	-240.4344036	90.112006	90.112006	2.66817281	-2.66817281	2.66817281	0.44102019	u0to0.d0to50	RBM42_M142_0.6	1.35734837884079	0.0873352710619167	1.0	-1.35734837884079	0.0873352710619167	1.0	1.35734837884079	1.35734837884079	False
u25to0.d0to25|PHAX_472	136.63787969999998	-136.63787969999998	45.234465	45.234465	3.02065871	-3.02065871	3.02065871	0.67162593	u25to0.d0to25	PHAX_472	1.34028488172838	0.0900763723378911	1.0	-1.34028488172838	0.0900763723378911	1.0	1.34028488172838	1.34028488172838	False
u25to0.d0to25|PUM1_569	-12.6784526	12.6784526	5.989553	5.989553	-2.11676124	2.11676124	2.11676124	0.30818278	u25to0.d0to25	PUM1_569	-1.33973300282658	0.0901660819691886	1.0	1.33973300282658	0.0901660819691886	1.0	1.33973300282658	1.33973300282658	False
u50to0.d0to0|RBM5_M053_0.6	-8.608197800000001	8.608197800000001	2.8192057	2.8192057	-3.05341241	3.05341241	3.05341241	0.53772582	u50to0.d0to0	RBM5_M053_0.6	-1.33872929788619	0.0903294074192015	1.0	1.33872929788619	0.0903294074192015	1.0	1.33872929788619	1.33872929788619	False
u25to0.d0to25|QKI_M046_0.6	-25.9384972	25.9384972	12.518162	12.518162	-2.0720692	2.0720692	2.0720692	0.41764081	u25to0.d0to25	QKI_M046_0.6	-1.31641868013874	0.0940167780159821	1.0	1.31641868013874	0.0940167780159821	1.0	1.31641868013874	1.31641868013874	False
