GSM1705375	GSM1705377
ENST00000450880	43.735028	39.068812
ENST00000613317	0.0	0.0
ENST00000428809	0.0	0.0
ENST00000432621	0.0	0.0
ENST00000448463	79.29523	141.657973
ENST00000359341	150.500279	0.0
ENST00000364942	0.0	0.0
ENST00000613590	0.0	0.0
ENST00000344577	0.0	0.0
ENST00000536861	0.0	0.0
ENST00000614229	0.0	0.0
ENST00000433806	0.0	105.980232
ENST00000400211	0.0	0.0
ENST00000468643	238.581774	0.0
ENST00000468788	0.0	0.0
ENST00000495055	0.0	0.0
ENST00000461088	0.0	0.0
ENST00000400577	0.0	171.209517
ENST00000475864	0.0	0.0
ENST00000429114	0.0	0.0
ENST00000482980	0.0	0.0
ENST00000481582	0.0	0.0
ENST00000467409	0.0	0.0
ENST00000471902	0.0	0.0
ENST00000463099	0.0	0.0
ENST00000285667	885.5900730000001	745.806339
ENST00000478035	0.0	0.0
ENST00000400564	0.0	0.0
ENST00000400566	0.0	0.0
ENST00000285670	0.0	0.0
ENST00000619120	0.0	0.0
ENST00000463807	0.0	0.0
ENST00000493640	0.0	0.0
ENST00000449214	0.0	0.0
ENST00000435732	0.0	0.0
ENST00000400562	0.0	0.0
ENST00000469393	0.0	0.0
ENST00000467280	0.0	0.0
ENST00000455253	0.0	27.76753
ENST00000454128	0.0	0.0
ENST00000453699	0.0	0.0
ENST00000435315	0.0	0.0
ENST00000448152	0.0	0.0
ENST00000432230	9.043585	7.486424
ENST00000630354	126.05652	0.0
ENST00000593619	0.0	0.0
ENST00000627623	0.0	0.0
ENST00000630211	0.0	0.0
ENST00000625278	0.0	0.0
ENST00000454795	0.0	0.0
ENST00000412426	0.0	0.0
ENST00000418954	0.0	0.0
ENST00000430391	0.0	0.0
ENST00000318948	267.93489	169.270134
ENST00000400199	5e-06	5e-06
ENST00000400202	7.000000000000001e-06	6e-06
ENST00000446301	0.0	0.0
ENST00000411932	0.0	0.0
ENST00000638122	0.0	0.0
ENST00000436429	0.0	0.0
ENST00000637963	0.0	0.0
ENST00000637630	0.0	0.0
ENST00000623352	0.0	0.0
ENST00000449746	0.0	0.0
ENST00000623768	0.0	0.0
ENST00000634642	0.0	0.0
ENST00000634644	0.0	0.0
ENST00000634708	0.0	0.0
ENST00000635621	0.0	0.0
ENST00000635225	0.0	0.0
ENST00000449602	0.0	0.0
ENST00000634659	0.0	0.0
ENST00000450823	0.0	0.0
ENST00000433588	0.0	0.0
ENST00000635525	0.0	0.0
ENST00000634853	0.0	0.0
ENST00000635684	0.0	0.0
ENST00000391262	0.0	0.0
ENST00000454157	0.0	0.0
ENST00000285679	332.393132	146.60666899999998
ENST00000351097	0.0	0.0
ENST00000285681	24.88926	143.14818200000002
ENST00000400183	0.0	0.0
ENST00000433427	0.0	0.0
ENST00000547201	0.0	0.0
ENST00000549362	0.0	0.0
ENST00000464435	0.0	63.993433
ENST00000453553	0.0	0.0
ENST00000449491	0.0	0.0
ENST00000478932	24.082117	23.33406
ENST00000635845	0.0	0.0
ENST00000516464	0.0	0.0
ENST00000602580	0.0	0.0
ENST00000619222	0.0	13.044253
ENST00000602935	0.0	0.0
ENST00000400178	0.0	0.0
ENST00000456342	0.0	0.0
ENST00000399358	0.0	0.0
ENST00000418544	0.0	0.0
ENST00000428669	0.0	0.0
ENST00000419952	0.0	0.0
ENST00000445461	0.0	0.0
ENST00000602505	0.0	0.0
ENST00000602901	0.0	231.307623
ENST00000364155	0.0	0.0
ENST00000602921	0.0	0.0
ENST00000602339	0.0	0.0
ENST00000602454	0.0	0.0
ENST00000602892	0.0	0.0
ENST00000418813	0.0	0.0
ENST00000435697	0.0	0.0
ENST00000453910	0.0	0.0
ENST00000602620	0.0	0.0
ENST00000624971	0.0	0.0
ENST00000441820	0.0	0.0
ENST00000602280	0.0	0.0
ENST00000384906	0.0	0.0
ENST00000362160	0.0	0.0
ENST00000602654	0.0	0.0
ENST00000602323	158.873281	0.0
ENST00000385128	0.0	0.0
ENST00000413645	0.0	0.0
ENST00000438762	0.0	0.0
ENST00000602659	0.0	0.0
ENST00000458992	0.0	0.0
ENST00000444868	0.0	0.0
ENST00000430064	0.0	0.0
ENST00000433383	0.0	0.0
ENST00000620221	0.0	0.0
ENST00000516653	0.0	0.0
ENST00000440664	0.0	0.0
ENST00000613691	0.0	0.0
ENST00000445481	0.0	0.0
ENST00000583100	0.0	0.0
ENST00000284878	420.198701	425.183421
ENST00000400166	0.0	0.0
ENST00000356275	0.0	0.0
ENST00000400165	0.0	0.0
ENST00000400169	228.79687400000003	0.0
ENST00000413813	6016.827805	7549.559411
ENST00000363884	0.0	0.0
ENST00000363092	0.0	0.0
ENST00000339775	0.0	339.825312
ENST00000348354	2622.211025	3645.993562
ENST00000471860	0.0	0.0
ENST00000496601	244.16709900000004	0.0
ENST00000464058	0.0	0.0
ENST00000457956	156.65903	0.0
ENST00000626994	0.0	0.0
ENST00000630155	67.929046	39.989705
ENST00000416641	0.0	0.0
ENST00000624164	0.0	0.0
ENST00000430815	0.0	0.0
ENST00000430401	0.0	0.0
ENST00000439392	0.0	0.0
ENST00000284881	265.985185	139.267517
ENST00000400559	0.0	0.0
ENST00000400558	0.0	0.0
ENST00000428689	0.0	0.0
ENST00000405964	0.0	0.0
ENST00000493464	0.0	0.0
ENST00000454737	0.0	0.0
ENST00000482915	0.0	0.0
ENST00000447175	0.0	0.0
ENST00000456825	0.0	0.0
ENST00000400128	0.0	0.0
ENST00000400131	0.0	0.0
ENST00000400135	0.0	0.0
ENST00000400127	0.0	0.0
ENST00000432412	0.0	0.0
ENST00000299295	0.0	0.0
ENST00000543733	0.0	0.0
ENST00000338326	0.0	0.0
ENST00000284885	0.0	0.0
ENST00000422787	0.0	0.0
ENST00000474775	0.0	0.0
ENST00000455391	0.0	0.0
ENST00000437492	0.0	0.0
ENST00000355189	0.0	0.0
ENST00000414582	0.0	0.0
ENST00000416002	0.0	0.0
ENST00000580069	0.0	0.0
ENST00000358455	178188.738486	179376.396014
ENST00000623771	0.0	0.0
ENST00000440372	0.0	0.0
ENST00000449840	0.0	0.0
ENST00000450653	0.0	0.0
ENST00000424219	0.0	0.0
ENST00000413933	0.0	0.0
ENST00000433210	0.0	0.0
ENST00000391307	0.0	0.0
ENST00000448908	0.0	0.0
ENST00000603349	0.0	0.0
ENST00000282964	534.316663	0.0
ENST00000400117	0.0	0.0
ENST00000443479	0.0	0.0
ENST00000436373	0.0	0.0
ENST00000516042	0.0	0.0
ENST00000517154	0.0	0.0
ENST00000425091	0.0	0.0
ENST00000447938	399.774576	277.761902
ENST00000413190	0.0	0.0
ENST00000615444	0.0	0.0
ENST00000416768	0.0	0.0
ENST00000437238	0.0	0.0
ENST00000452561	0.0	0.0
ENST00000435279	0.0	0.0
ENST00000419299	0.0	0.0
ENST00000448832	0.0	0.0
ENST00000400546	0.0	0.0
ENST00000425058	0.0	0.0
ENST00000486367	0.0	0.0
ENST00000284894	0.0	0.0
ENST00000461281	0.0	0.0
ENST00000484983	0.0	0.0
ENST00000428205	0.0	0.0
ENST00000416182	0.0	0.0
ENST00000419069	0.0	0.0
ENST00000425979	0.0	0.0
ENST00000430060	0.0	0.0
ENST00000452500	0.0	0.0
ENST00000416327	0.0	0.0
ENST00000420255	0.0	0.0
ENST00000419467	0.0	0.0
ENST00000419431	0.0	0.0
ENST00000433524	0.0	0.0
ENST00000454567	0.0	0.0
ENST00000365469	0.0	0.0
ENST00000444130	0.0	0.0
ENST00000379571	0.0	0.0
ENST00000441759	0.0	0.0
ENST00000438328	0.0	0.0
ENST00000421604	0.0	0.0
ENST00000619419	0.0	0.0
ENST00000406845	0.0	0.0
ENST00000445341	0.0	0.0
ENST00000411146	0.0	0.0
ENST00000262354	0.0	0.0
ENST00000447052	3911.063672	4252.541846
ENST00000425085	0.0	36.519847
ENST00000362828	0.0	0.0
ENST00000433101	0.0	0.0
ENST00000441465	0.0	0.0
ENST00000447405	0.0	0.0
ENST00000415269	0.0	0.0
ENST00000434859	0.0	0.0
ENST00000448063	0.0	0.0
ENST00000416218	0.0	0.0
ENST00000453784	0.0	15.752068
ENST00000423581	0.0	0.0
ENST00000415182	0.0	0.0
ENST00000441009	0.0	0.0
ENST00000446404	0.0	0.0
ENST00000454182	0.0	0.0
ENST00000441666	0.0	0.0
ENST00000444178	0.0	0.0
ENST00000423389	0.0	0.0
ENST00000424017	0.0	0.0
ENST00000453802	0.0	0.0
ENST00000418942	0.0	0.0
ENST00000410635	0.0	0.0
ENST00000426609	0.0	0.0
ENST00000409758	0.0	0.0
ENST00000410986	0.0	0.0
ENST00000425147	87165.514483	87051.715171
ENST00000624405	0.0	0.0
ENST00000441013	0.0	0.0
ENST00000332587	0.0	0.0
ENST00000440205	0.0	0.0
ENST00000439840	0.0	0.0
ENST00000419694	0.0	0.0
