coordinates	GSM1705375_included	GSM1705377_included	GSM1705375_total	GSM1705377_total
21:44774567-44774741:-	0.0	0.0	5766.732574000001	3662.2964799999995
21:44785666-44785791:-	0.0	0.0	3897.801679	3884.4101929999997
21:44861163-44861271:-	4772.762106	3447.1318109999997	4772.762106	3447.1318109999997
21:44903365-44903535:-	0.0	0.0	0.0	0.0
21:44908074-44908182:-	0.0	0.0	0.0	0.0
21:45266022-45266227:-	173.478514	514.1652220000001	791.308923	559.0622480000001
21:45277233-45277773:-	173.478514	157.21240500000005	1228.019893	807.3953130000001
21:45283383-45283527:-	937.7352780000001	605.285882	937.7352780000001	605.285882
21:45282804-45282938:-	116.806101	0.0	1228.019893	762.4982870000001
21:45282349-45282459:-	0.0	0.0	0.0	0.0
21:46138880-46139052:-	0.0	0.0	0.0	0.0
21:46182624-46183774:-	0.0	0.0	0.0	42.665510999999995
21:46301997-46302154:-	0.0	0.0	241.58429900000002	651.381161
21:46318785-46318961:-	1002.1133070000001	640.0545639999998	1907.9263500000002	905.3560079999997
