ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u0to0.d0to50|SRSF1_325	-0.11419071	0.11419071	0.04034387	0.04559998	-2.8304349	2.5041832000000004	2.672293	0.5026738000000001	u0to0.d0to50	SRSF1_325	-0.444774939215668	0.328241203370362	1.0	0.509276124453886	0.3052793454116681	1.0	0.478114482887243	0.509276124453886	False
u50to0.d0to0|SRP14_344	0.194061855	-0.194061855	0.01929792	0.022166400000000003	10.056103199999999	-8.754774000000001	9.4279181	0.8609626	u50to0.d0to0	SRP14_344	0.466483121754229	0.32043486304159	1.0	-0.465816743638015	0.320673339553742	1.0	0.4661500517725461	0.466483121754229	False
u0to0.d0to50|RBM14_M050_0.6	0.49226365	-0.49226365	0.03665989	0.04058632	13.4278538	-12.1288064	12.794827	0.2994652	u0to0.d0to50	RBM14_M050_0.6	0.4012645032873379	0.34411269746130896	1.0	-0.517514204430632	0.30239862792287603	1.0	0.463051915764261	0.517514204430632	False
u25to0.d0to25|SRP54_408	-0.19356294	0.19356294	0.02735808	0.02912943	-7.075164999999998	6.644926400000001	6.8634178	0.9679144	u25to0.d0to25	SRP54_408	-0.403687192092136	0.343221379576792	1.0	0.503821716388786	0.30719333287287104	1.0	0.456508308228983	0.503821716388786	False
u50to0.d0to0|SNRPA_518	-2.163896142	2.163896142	0.16774996	0.338248	-12.89953307	6.3973656	10.18145963	0.2941176	u50to0.d0to0	SNRPA_518	-0.600017665660979	0.274247231148407	1.0	0.23593699565298104	0.406740780061086	1.0	0.455898818282635	0.600017665660979	False
u25to0.d0to25|RBMX_845	1.02103762	-1.02103762	0.12538212	0.13060982	8.1434071	-7.817464299999998	7.9820996	0.171123	u25to0.d0to25	RBMX_845	0.4021196639329939	0.34379798087206104	1.0	-0.5024647833180671	0.30767030935295603	1.0	0.4550665240360229	0.5024647833180671	False
u25to0.d0to25|RBMY1A1_410	0.54001794	-0.54001794	0.06726827	0.06873984	8.0278261	-7.8559672	7.9423615	0.3048128	u25to0.d0to25	RBMY1A1_410	0.395999775574595	0.34605259689204304	1.0	-0.505143797408702	0.306728920779238	1.0	0.453864560367745	0.505143797408702	False
u25to0.d0to25|RBM28_M047_0.6	-0.42691133	0.42691133	0.06957609	0.06284164	-6.135891	6.7934463	6.4730237	0.5882353	u25to0.d0to25	RBM28_M047_0.6	-0.35395365441772103	0.3616868080237999	1.0	0.514155662788658	0.30357158165768	1.0	0.441383753129464	0.514155662788658	False
u50to0.d0to0|PTBP1_1340	-0.323001733	0.323001733	0.03274778	0.03121118	-9.86331577	10.3489108	10.10902945	0.3101604	u50to0.d0to0	PTBP1_1340	-0.458957400411634	0.323132378793889	1.0	0.418948220026692	0.337626987608354	1.0	0.43940841278709	0.458957400411634	False
u0to0.d0to50|PIWIL1_508	-0.13831422	0.13831422	0.06538533	0.07283373	-2.1153709	1.8990407	2.010118	0.8877004999999999	u0to0.d0to50	PIWIL1_508	-0.407564851544266	0.341796586710442	1.0	0.466813546157719	0.320316641654458	1.0	0.4381917360532061	0.466813546157719	False
